22-06-13 00:39:20.331 - INFO: Train epoch 598: [17600/21000 (84%)] Loss: 2.2746 | MSE loss: 0.0002 | Bpp loss: 0.98 | Aux loss: 33.97
22-06-13 00:40:43.718 - INFO: Train epoch 598: [18400/21000 (88%)] Loss: 2.5362 | MSE loss: 0.0003 | Bpp loss: 0.92 | Aux loss: 35.82
22-06-13 00:42:07.068 - INFO: Train epoch 598: [19200/21000 (91%)] Loss: 1.7261 | MSE loss: 0.0002 | Bpp loss: 0.72 | Aux loss: 34.50
22-06-13 00:43:30.421 - INFO: Train epoch 598: [20000/21000 (95%)] Loss: 2.3861 | MSE loss: 0.0002 | Bpp loss: 1.02 | Aux loss: 35.37
22-06-13 00:44:53.339 - INFO: Train epoch 598: [20800/21000 (99%)] Loss: 2.1745 | MSE loss: 0.0002 | Bpp loss: 0.89 | Aux loss: 34.50
22-06-13 00:45:30.536 - INFO: Test epoch 598: Average losses: Loss: 2.2755 | MSE loss: 0.0002 | Bpp loss: 0.98 | Aux loss: 35.03 | PSNR: 37.343224 | MS-SSIM: 0.993283
22-06-13 00:45:33.155 - INFO: Learning rate: 1.0000000000000002e-06
22-06-13 00:45:34.981 - INFO: Train epoch 599: [    0/21000 (0%)] Loss: 2.7616 | MSE loss: 0.0003 | Bpp loss: 1.16 | Aux loss: 35.04
22-06-13 00:46:58.088 - INFO: Train epoch 599: [  800/21000 (4%)] Loss: 1.6541 | MSE loss: 0.0002 | Bpp loss: 0.76 | Aux loss: 35.44
22-06-13 00:48:21.667 - INFO: Train epoch 599: [ 1600/21000 (8%)] Loss: 1.5366 | MSE loss: 0.0001 | Bpp loss: 0.70 | Aux loss: 32.99
22-06-13 00:49:45.100 - INFO: Train epoch 599: [ 2400/21000 (11%)] Loss: 1.0556 | MSE loss: 0.0001 | Bpp loss: 0.54 | Aux loss: 36.99
22-06-13 00:51:08.485 - INFO: Train epoch 599: [ 3200/21000 (15%)] Loss: 2.2962 | MSE loss: 0.0002 | Bpp loss: 1.03 | Aux loss: 37.34
22-06-13 00:52:31.942 - INFO: Train epoch 599: [ 4000/21000 (19%)] Loss: 2.0248 | MSE loss: 0.0002 | Bpp loss: 0.85 | Aux loss: 34.39
22-06-13 00:53:55.112 - INFO: Train epoch 599: [ 4800/21000 (23%)] Loss: 2.6401 | MSE loss: 0.0003 | Bpp loss: 0.91 | Aux loss: 33.55
22-06-13 00:55:18.667 - INFO: Train epoch 599: [ 5600/21000 (27%)] Loss: 1.4300 | MSE loss: 0.0001 | Bpp loss: 0.71 | Aux loss: 37.05
22-06-13 00:56:42.208 - INFO: Train epoch 599: [ 6400/21000 (30%)] Loss: 2.1503 | MSE loss: 0.0002 | Bpp loss: 0.86 | Aux loss: 36.08
22-06-13 00:58:05.685 - INFO: Train epoch 599: [ 7200/21000 (34%)] Loss: 1.9654 | MSE loss: 0.0002 | Bpp loss: 0.88 | Aux loss: 34.24
22-06-13 00:59:29.068 - INFO: Train epoch 599: [ 8000/21000 (38%)] Loss: 1.8598 | MSE loss: 0.0002 | Bpp loss: 0.87 | Aux loss: 35.33
22-06-13 01:00:52.889 - INFO: Train epoch 599: [ 8800/21000 (42%)] Loss: 2.6733 | MSE loss: 0.0003 | Bpp loss: 1.09 | Aux loss: 35.97
22-06-13 01:02:16.218 - INFO: Train epoch 599: [ 9600/21000 (46%)] Loss: 2.1454 | MSE loss: 0.0002 | Bpp loss: 0.92 | Aux loss: 35.70
22-06-13 01:03:39.517 - INFO: Train epoch 599: [10400/21000 (50%)] Loss: 2.8307 | MSE loss: 0.0003 | Bpp loss: 1.03 | Aux loss: 38.09
22-06-13 01:05:02.955 - INFO: Train epoch 599: [11200/21000 (53%)] Loss: 2.5409 | MSE loss: 0.0003 | Bpp loss: 1.01 | Aux loss: 37.45
22-06-13 01:06:26.239 - INFO: Train epoch 599: [12000/21000 (57%)] Loss: 2.1814 | MSE loss: 0.0002 | Bpp loss: 1.09 | Aux loss: 34.67
22-06-13 01:07:49.623 - INFO: Train epoch 599: [12800/21000 (61%)] Loss: 1.4717 | MSE loss: 0.0001 | Bpp loss: 0.72 | Aux loss: 37.73
22-06-13 01:09:13.032 - INFO: Train epoch 599: [13600/21000 (65%)] Loss: 1.4657 | MSE loss: 0.0001 | Bpp loss: 0.72 | Aux loss: 34.13
22-06-13 01:10:36.177 - INFO: Train epoch 599: [14400/21000 (69%)] Loss: 1.5766 | MSE loss: 0.0001 | Bpp loss: 0.74 | Aux loss: 37.58
22-06-13 01:11:59.731 - INFO: Train epoch 599: [15200/21000 (72%)] Loss: 3.0589 | MSE loss: 0.0003 | Bpp loss: 1.20 | Aux loss: 36.76
22-06-13 01:13:22.897 - INFO: Train epoch 599: [16000/21000 (76%)] Loss: 2.3709 | MSE loss: 0.0003 | Bpp loss: 0.91 | Aux loss: 36.89
22-06-13 01:14:46.448 - INFO: Train epoch 599: [16800/21000 (80%)] Loss: 1.9983 | MSE loss: 0.0002 | Bpp loss: 0.82 | Aux loss: 36.87
22-06-13 01:16:09.530 - INFO: Train epoch 599: [17600/21000 (84%)] Loss: 2.0170 | MSE loss: 0.0002 | Bpp loss: 0.98 | Aux loss: 37.27
22-06-13 01:17:32.788 - INFO: Train epoch 599: [18400/21000 (88%)] Loss: 2.0205 | MSE loss: 0.0002 | Bpp loss: 0.94 | Aux loss: 35.22
22-06-13 01:18:56.319 - INFO: Train epoch 599: [19200/21000 (91%)] Loss: 2.5248 | MSE loss: 0.0003 | Bpp loss: 1.00 | Aux loss: 32.47
